Object ID,CNN ID,Street Name,Street Type,Supervisor District,Layer Input,Collection Method,Parking Supply,Year,Last Edited Date,Geom
2121,8346201,LINCOLN,WAY,01,STREETS,FIELD,11,2012,,"LINESTRING (-122.46538985270593 37.76597488237358, -122.46551125060323 37.76601648024987, -122.4663284641769 37.765981763341294, -122.46645571111927 37.765929601636564)"
2122,8341201,LINCOLN,WAY,01,STREETS,FIELD,18,2012,,"LINESTRING (-122.45780284406871 37.76601970794516, -122.45799528745258 37.76610908804874, -122.45856735096108 37.766294533660165, -122.4588447639741 37.76628992920981, -122.45896011111176 37.7662605464751)"
2123,8345202,LINCOLN,WAY,01,STREETS,FIELD,10,2012,,"LINESTRING (-122.46432567637034 37.766076770288905, -122.4652813193169 37.76602728245243, -122.46538985270593 37.76597488237358)"
2124,7644201,JUDAH,ST,05,STREETS,FIELD,0,2012,,"LINESTRING (-122.46619377625566 37.76217998160041, -122.46627376610482 37.76220947913702, -122.46719525138872 37.76216904602266, -122.46726636213194 37.762132918494906)"
2125,7645201,JUDAH,ST,05,STREETS,FIELD,7,2012,,"LINESTRING (-122.46726636213194 37.762132918494906, -122.46734014090087 37.76216268751256, -122.46826713116369 37.76212200360767, -122.46833422626551 37.76208605243471)"
2126,7646201,JUDAH,ST,05,STREETS,FIELD,6,2010,,"LINESTRING (-122.46833422626551 37.76208605243471, -122.46841195702046 37.762115647543745, -122.46932229840257 37.76207568668551, -122.46940504736664 37.7620390470605)"
2127,2067000,48TH,AVE,04,STREETS,FIELD,35,2012,,"LINESTRING (-122.50821180096686 37.762195248721326, -122.50808078697429 37.760334752857105)"
2128,911101,19TH,AVE,07,STREETS,FIELD,13,2012,,"LINESTRING (-122.47702410920292 37.76170431366813, -122.47693823039242 37.761588601329315, -122.47676077421144 37.759958316186996, -122.47682711398117 37.75983887455754)"
2129,1805000,36TH,AVE,04,STREETS,FIELD,47,2012,,"LINESTRING (-122.49509561046003 37.75903306794944, -122.49496490931239 37.75716880953117)"
2130,1772000,35TH,AVE,04,STREETS,FIELD,44,2012,,"LINESTRING (-122.4940232113626 37.759080449780726, -122.49389066643195 37.757216236255466)"
2131,1729000,33RD,AVE,04,STREETS,FIELD,35,2012,,"LINESTRING (-122.49188017893087 37.759175104693846, -122.49175001338692 37.75731071520046)"
2132,1686000,31ST,AVE,04,STREETS,FIELD,38,2012,,"LINESTRING (-122.48973537341479 37.75926979915263, -122.4896045521407 37.757405367926815)"
2133,1651000,30TH,AVE,04,STREETS,FIELD,37,2012,,"LINESTRING (-122.48866125424797 37.759317207086994, -122.48853045774419 37.75745273867056)"
2134,1829000,37TH,AVE,04,STREETS,FIELD,35,2012,,"LINESTRING (-122.49616570728958 37.758986059603465, -122.49603472107552 37.75712156790397)"
2135,1872000,39TH,AVE,04,STREETS,FIELD,38,2012,,"LINESTRING (-122.498306411877 37.7588925484806, -122.49817534638795 37.75702769366456)"
2136,1892000,40TH,AVE,04,STREETS,FIELD,35,2012,,"LINESTRING (-122.4993785518923 37.7588456997623, -122.4992474467376 37.75698066429153)"
2137,1913000,41ST,AVE,04,STREETS,FIELD,32,2012,,"LINESTRING (-122.5004492517575 37.75879890536755, -122.50031810691932 37.7569336874393)"
2138,1935000,42ND,AVE,04,STREETS,FIELD,38,2012,,"LINESTRING (-122.50151862479655 37.75875215800377, -122.5013874403516 37.75688675941869)"
2139,1957000,43RD,AVE,04,STREETS,FIELD,38,2012,,"LINESTRING (-122.50259492756395 37.75870509751423, -122.5024637021747 37.75683951739884)"
2140,1979000,44TH,AVE,04,STREETS,FIELD,41,2012,,"LINESTRING (-122.50366570726712 37.758658269773406, -122.50353680049803 37.756792404925314)"
2141,2070000,48TH,AVE,04,STREETS,FIELD,32,2012,,"LINESTRING (-122.50781807071937 37.756603692412945, -122.5076869415242 37.754741267966324)"
2142,2002000,45TH,AVE,04,STREETS,FIELD,34,2012,,"LINESTRING (-122.50460736356183 37.75674523025017, -122.50447637018975 37.75488360073028)"
